class,Mean I1,Std I1,Mean (H) I1,Std (H) I1,Kurtosis (H) I1,Skewness (H) I1,Entropy (H) I1,Energy (H) I1,Mean I2,Std I2,Mean (H) I2,Std (H) I2,Kurtosis (H) I2,Skewness (H) I2,Entropy (H) I2,Energy (H) I2,Mean I3,Std I3,Mean (H) I3,Std (H) I3,Kurtosis (H) I3,Skewness (H) I3,Entropy (H) I3,Energy (H) I3,Mean X,Std X,Kurt X,Skew X,Mean Y,Std Y,Kurt Y,Skew Y,Mean Z,Std Z,Kurt Z,Skew Z,GLCM Contrast R,GLCM Correlation R,GLCM Energy R,GLCM Entropy R,GLCM Homogeneity R,GLCM Autocorrelation R,GLCM Cluster Prominence R,GLCM Inverse Difference R,GLCM Dissimilarity R,GLCM Contrast G,GLCM Correlation G,GLCM Energy G,GLCM Entropy G,GLCM Homogeneity G,GLCM Autocorrelation G,GLCM Cluster Prominence G,GLCM Inverse Difference G,GLCM Dissimilarity G,GLCM Contrast B,GLCM Correlation B,GLCM Energy B,GLCM Entropy B,GLCM Homogeneity B,GLCM Autocorrelation B,GLCM Cluster Prominence B,GLCM Inverse Difference B,GLCM Dissimilarity B,GLRLM SRE,GLRLM LRE,GLRLM GLN,GLRLM RLN,GLRLM RP,GLRLM LGRE,GLRLM HGRE,GLRLM SRLGE,GLRLM SRHGE,GLRLM LRLGE,GLRLM LRHGE
Fusarium,0.713828511982824,-0.260424339446633,-0.673578884455598,-0.967971356740196,-0.429177982705939,-0.169949526305974,0.12027414861946,-0.697553429577624,0.446307944350989,-0.453953560152408,-0.673578884455598,-0.97937695976593,-0.477210976638112,-0.204866164966924,0.0391000315114431,-0.676527314479064,0.282559966362506,-0.493184113667272,-0.673578884455598,-0.971095013133308,-0.332803609393793,-0.0842104924374497,-0.226339506440752,-0.671413373987543,-0.2810873615963,-0.374256375590909,-0.484631865408835,-0.921746379021052,-0.257274960211331,-0.346708422936893,-0.425595865897927,-0.879047565389425,-0.259351952086215,-0.339106115418325,-0.43677240337396,-0.893247432189656,-0.514527290118142,0.658763673270427,0.492986723959314,-0.418547987251983,0.452409720071881,-0.805478822088006,-0.665155656855729,0.457881384981551,-0.434591920847528,-0.501604907358839,0.715375861665392,0.499060719191878,-0.435221183533979,0.469252585603321,-0.788703939552825,-0.593638508072392,0.474474489637139,-0.442852793219343,-0.594265445659488,0.707181735374756,0.501610931843447,-0.43256582311497,0.467059249930745,-0.790245870128101,-0.741590225323189,0.47234853655635,-0.440204167501704,-0.586848195258109,-0.044515818718337,-0.303468809667933,-0.303129916634019,-0.16829708662047,0.130135924043928,-0.716925474994613,-0.512512812757558,-0.82720927238957,0.120840270298779,-0.641075473162496
Fusarium,0.694304834506973,-0.607799509235032,-0.823759008486209,-0.984358153909408,-0.350697114102964,-0.0575669020096714,-1,-0.841410333071433,0.555394379196898,-0.58423117903499,-0.823759008486209,-0.990296180767252,-0.397007128719703,-0.0795592483412346,-0.438201944392292,-0.823843855654973,-0.318609166036445,-0.71020069570232,-0.823759008486209,-0.987627291361593,-0.490211133630232,-0.215735173535457,-0.791297125435807,-0.826223756400808,-0.48403951264274,-0.761204425334426,-0.413084634172705,-0.940573169730191,-0.507237112598603,-0.731119415555672,-0.398635598554707,-0.939940010885789,-0.460258630599401,-0.67560512654717,-0.363858636656044,-0.923153786713284,-0.72650705302156,0.130568853865222,0.713205968264462,-0.696599039053989,0.723692569031893,-0.907630632803161,-0.858185830286728,0.736653899841222,-0.697959628430139,-0.732436732716402,0.022551170446476,0.717343236121796,-0.697586842197107,0.721465018485311,-0.919411657205339,-0.884847552700121,0.732749810512146,-0.701445829174436,-0.760976467595023,0.123885709012395,0.718784308775997,-0.689540493803628,0.712424869660161,-0.907697913437312,-0.905928115239792,0.723092486513501,-0.6848499727295,-0.668798497758554,0.14746538590841,-0.491994017316073,-0.495799801831931,-0.389549969970818,0.104077698582123,-0.528953937328049,-0.681752491749519,-0.708027337215016,0.418407026039619,-0.404295052905383
Fusarium,0.717227411104117,-0.340890501166111,-0.874906556660934,-0.992502763839573,-0.57435466929154,-0.315240937602627,-0.74737035317542,-0.881009923911618,0.527531136210072,-0.53993088057864,-0.874906556660934,-0.99126603468618,0.534562574820419,0.667805955687639,0.0391000315114431,-0.875308789970098,0.182176935371771,-0.730930572641173,-0.874906556660934,-0.98897129105471,-0.0759814643914465,0.200367592789319,-0.55610530509106,-0.874467054705543,-0.249192841543061,-0.415840679755619,-0.538804136290775,-0.990717883100881,-0.236183333549068,-0.429082305583265,-0.536673726923488,-0.988794898627697,-0.241940138653189,-0.344804825613913,-0.540083138999725,-0.985989019750409,-0.776674186442336,0.181164190901862,0.794636333801266,-0.756866319622768,0.775324127621143,-0.912387698186085,-0.782051020177995,0.779865709368597,-0.757061424064636,-0.765205674514153,0.208281392081057,0.798332997308546,-0.767216056766997,0.778081766035811,-0.909765674588872,-0.764343535000738,0.781833235764434,-0.755636542929914,-0.812584484813136,0.202183708980761,0.799433020534764,-0.759397129651971,0.776374233850873,-0.909651300453698,-0.8461937524931,0.780153696865042,-0.756224609623166,-0.673606329357872,0.0811162211882295,-0.568255508514659,-0.471162962835423,-0.460768590259254,0.048924847331572,-0.460346222875324,-0.637709401848474,-0.668962852401967,0.243819231244385,-0.315912476271365
Fusarium,0.693855367195923,-0.465796179684566,-0.858561054826794,-0.990059577055256,-0.451067399050675,-0.172118460081953,-1,-0.872530229763361,0.546178342730762,-0.3039134064511,-0.858561054826794,-0.994135389611125,-0.242929832935843,0.011788464032771,0.0391000315114431,-0.858747787594166,0.225769354541328,-0.488477029394562,-0.858561054826794,-0.98897968069114,-0.218159476100964,0.0496752438018273,-0.468757314616636,-0.85782933694089,-0.475103743625388,-0.653614167673156,-0.426669553468634,-0.957457601015428,-0.461151225831929,-0.650115802857133,-0.415858907572875,-0.947289036115799,-0.478161755166277,-0.553600304959835,-0.407886657162072,-0.94146677370303,-0.779898012333183,-0.0485623323322157,0.76729312815844,-0.74071985860947,0.768062211851369,-0.929830096580252,-0.882151221544979,0.778078309651278,-0.751342817398882,-0.769571034632965,-0.00493682547395535,0.771426101803815,-0.748683296209739,0.767404185300276,-0.926638049629151,-0.868395902868941,0.776300788047408,-0.748002104749844,-0.817156409144358,-0.0331152593585727,0.772679072049005,-0.738456279341334,0.762578355145543,-0.928061742927059,-0.921788156701406,0.770987178501635,-0.747722430915593,-0.588140866804593,-0.0560307805729712,-0.522727372013655,-0.4820845970185,-0.389948644609722,-0.0100382714563572,-0.517471794602207,-0.533221086704204,-0.703064266743075,-0.0142817084908353,-0.388407623607872
Fusarium,0.754278645714569,-0.41101049645017,-0.0139155180827711,-0.630235043616022,0.569254437220606,0.679186577542006,0.0779999810259095,-0.0383810940873076,0.571282447642192,-0.605714268708171,-0.0139155180827711,-0.571867776474815,0.616119709176063,0.834186584884848,0.182292347591445,-0.0135094696014141,0.0697616677702442,-0.575251626239067,-0.0139155180827711,-0.564280003903132,0.123506416003565,0.393658997966708,-0.304084466926013,-0.0132262631214333,0.16792820772215,-0.371227887125086,-0.853640165756727,-0.927841857325739,0.173759964431861,-0.386393765367967,-0.852511329261203,-0.924067330418242,0.169273523987497,-0.340669080569951,-0.875854860421773,-0.913353108161798,0.214483719218891,0.452285354016359,-0.315053621052954,0.24563526939229,-0.142397940045175,-0.126414066351432,0.191343489419489,-0.142836617796945,0.256087671725906,0.228953477429906,0.489585906930469,-0.301451833265191,0.229661517210981,-0.152638830129373,-0.126232069601021,0.204574969591302,-0.158522748845957,0.261007197831881,-0.00805379042323862,0.433725349415443,-0.292696209461247,0.233594764458971,-0.142418758522101,-0.127825705534639,-0.189292524463773,-0.146123921617313,0.253628877640929,-0.637028863806668,0.0141503189698173,-0.48936780413762,-0.408172893894184,-0.358475677930354,0.00823416192332838,-0.539912991717083,-0.589897415021353,-0.718471601975057,0.102042109351838,-0.416364623116063
Fusarium,0.726542850578582,-0.321943404437257,-0.718801805078566,-0.972721024211431,-0.285994600917955,-0.061095118953397,-0.935007445965253,-0.733113598202057,0.564553091520279,-0.542705002112447,-0.718801805078566,-0.964801596947487,0.412765416755186,0.641773190345744,-0.184746385056328,-0.718754525049402,0.0983206466405662,-0.551066531614776,-0.718801805078566,-0.960012350640158,-0.00906890923902304,0.278354181151512,-0.426379394327906,-0.718521309187536,-0.147937935951257,-0.377080143723757,-0.639216106970177,-0.984923485837976,-0.141286769922433,-0.388430887843887,-0.639511914345143,-0.984038926259851,-0.149636889927592,-0.352884213199614,-0.644298409654084,-0.97890259012717,-0.643232037687742,0.783458361902706,0.56676983678376,-0.515121817539842,0.604443954895459,-0.792203826595839,-0.533104850923947,0.603351037420513,-0.591052298794785,-0.638569304348427,0.784107789164177,0.573243749930623,-0.527876343148209,0.611459358558566,-0.79175818049939,-0.523637825737822,0.60934646730157,-0.59574461266422,-0.711088017357449,0.784668725501747,0.575360779202967,-0.522468742188586,0.609058102192439,-0.791905703211824,-0.686026265621411,0.607110256743216,-0.596174076166032,-0.670577584497057,0.0698608282691151,-0.538498243917858,-0.439165230160775,-0.431361129536327,0.0778752262338132,-0.498475101958288,-0.631141001154747,-0.689027595639472,0.264770190738136,-0.367981513864519
Fusarium,0.730356679091451,-0.277076643769833,-0.542692411030061,-0.92053278424924,0.323078421999057,0.482321908906814,-0.687232013043044,-0.566377585487,0.548316777455073,-0.761629203706806,-0.542692411030061,-0.896276687035598,0.528602226002814,0.75499819912931,-0.289570131356114,-0.54321112675345,0.108581299149982,-0.734375571968031,-0.542692411030061,-0.887799877414716,0.210382955936608,0.452608913634085,-0.55610530509106,-0.541991440401799,-0.106966844393404,-0.410019541279456,-0.824397106276008,-0.939218836544003,-0.0982046434983825,-0.417765975363052,-0.827101554217632,-0.936687667162757,-0.105832661607416,-0.424409444520203,-0.810585989763549,-0.941964401358241,-0.556553461343126,0.983910206033757,0.327022094582561,-0.28358381524817,0.396710175231188,-0.663886362193507,-0.371799158351077,0.382156074628199,-0.422856706392613,-0.551473933648298,0.991749163294847,0.335009946953511,-0.295421236896597,0.406820878461094,-0.659486437211809,-0.339642795975519,0.390914964470216,-0.429597168388021,-0.635044970644805,0.99122073700675,0.338346466035054,-0.293234453171005,0.400910722485463,-0.660242015904678,-0.566692860709109,0.385009761901784,-0.424768842345695,-0.456345880202583,-0.341926973833238,-0.476427652531556,-0.319303022771918,-0.387837851823626,0.0960706269813723,-0.475146844710723,-0.294285130944097,-0.667129618169719,-0.3604765389125,-0.345272901484727
Fusarium,0.711240689411509,-0.172110757660238,-0.783507547662957,-0.981851350032139,-0.112201416265804,0.0931108490921735,-0.513884515636814,-0.799181133862945,0.548144750693004,-0.80494921584408,-0.783507547662957,-0.973323192763285,0.446372559196659,0.683035146357991,-0.362586450144458,-0.783753992203514,0.145446919543339,-0.89599275968029,-0.783507547662957,-0.967470909576623,0.236134610202654,0.465936526030217,-0.841579740759099,-0.78299529571304,-0.299799325943327,-0.410912345867135,-0.711224841257462,-0.973592362076035,-0.29031379298664,-0.420603202668337,-0.712018686594114,-0.973147272786975,-0.304757341993376,-0.439585303472201,-0.685884138019652,-0.975833347656329,-0.822677345466721,0.523279274212909,0.670167181657396,-0.637369341119504,0.765262155753071,-0.863050232346187,-0.72807996500039,0.763390609353944,-0.771836555686543,-0.816667042576223,0.538263777311679,0.673204550241408,-0.644208303417969,0.767457973024648,-0.860997855283969,-0.712527121629298,0.764873968064123,-0.771785015261058,-0.854438828631161,0.525774290335185,0.674733969514566,-0.643108502243155,0.767924254680945,-0.861906228218852,-0.820668174636986,0.765593716209366,-0.773505613150725,-0.450876566964631,-0.347918616530299,-0.455608169053015,-0.303959756052506,-0.366149223867163,0.102969298975105,-0.503149422093883,-0.283580615539287,-0.68328341332171,-0.37070106747611,-0.38146974542741
Fusarium,0.750566571383029,-0.690510101954551,0.260811554257452,-0.341243379056298,0.517064329907161,0.660759551748303,-0.935007445965253,0.221046296361965,0.588073241545533,-0.608628572619691,0.260811554257452,-0.287549431254989,0.585940291426064,0.800769290132993,-0.289570131356114,0.262705756695386,0.0881267416913758,-0.521071166195972,0.260811554257452,-0.251943000481084,0.300489628900467,0.516259265098943,-0.384825667842729,0.262355730289992,0.110680331584869,-0.639877974436117,-0.788960747557195,-0.905734209648716,0.118211985637841,-0.651678393101076,-0.787712335660057,-0.901940939528344,0.101478507291706,-0.634695441937626,-0.822694987660034,-0.874747941844607,0.236806790839987,0.663485900438967,-0.601924345884026,0.48755702892887,-0.580297394886959,0.076380050135394,0.0362518142888582,-0.62362611416679,0.539116439293282,0.235111474782906,0.662381871848387,-0.582238676232343,0.459612507600398,-0.547625080194173,0.0780809342873634,0.0514035460755187,-0.593991101288065,0.511464359174838,0.00958924608466027,0.678739413612808,-0.577365276136295,0.47578792565756,-0.602823081195403,0.0667662545372267,-0.310481585120636,-0.652339046886073,0.552003416983336,-0.450636826223236,-0.377581530006656,-0.452000958143093,-0.241148675925911,-0.370281239366298,0.119133731460456,-0.484671389746382,-0.280498839371287,-0.679109367962613,-0.379771854620253,-0.356142426465313
Fusarium,0.645192401064464,0.00393231193051657,-0.641257998658437,-0.971765669923165,-0.79649130188867,-0.611807427068351,-0.101745806282324,-0.70634897968604,0.523189646188136,-0.491648978853094,-0.641257998658437,-0.974803401367134,-0.374031839579274,-0.10733792805971,0.126621793308466,-0.642350213671084,0.0808677989729318,-0.734941054481486,-0.641257998658437,-0.953430201434161,-0.176621088815529,0.0943196554050911,-0.426379394327906,-0.6410365026606,-0.82144455118528,-0.668733652047585,-0.456066736698358,-0.977754802475793,-0.820136659912311,-0.677206285078402,-0.445317474215538,-0.969781843186495,-0.827200309306954,-0.704977368706978,-0.399750552316131,-0.949364090292761,-0.851034197954734,0.19787474943915,0.499566719230691,-0.466927882140113,0.724074076985584,-0.898169008209981,-0.910059707316168,0.719110072712869,-0.757757017194142,-0.849014232125274,0.201772321199759,0.49246839383819,-0.466102019304662,0.729157445455236,-0.897510306374807,-0.910308736683499,0.723655382232657,-0.760759538116238,-0.888012896922077,0.198780310453749,0.486649019459453,-0.46094540776838,0.74349380747071,-0.896219370303502,-0.951206670624394,0.738829584632324,-0.775610219603528,-0.423888449814058,-0.0292163108240608,-0.661486688055839,-0.787206824065424,-0.586321119375017,0.0877541968749624,-0.307166465551147,-0.433457860875006,-0.526775750895517,0.150602149097734,-0.128242443736442
